Pt1	Int32	String	Text	StringEnum	Int32	StringEnum	String	String	Int32	String	Int32	Int32	Int32	String	Int32	Int32	Char
	No	Empresa	UEB/OC	Provincia	UEB Alimatic	Sist. Cont	Migración	Nómina	C	Real	Plan	ADSL	PAP	Aumento	Maq Env	PLC	S
	68	Cervecería Tínima	Embotelladora de  Cervezas las Tunas	Las Tunas	0	Sicema SQL		DESOFT	1	64		1		-64			G
	69	Aceites Camaguey	Oficina Central	Camaguey	0	Sicema SQL		SQL	5	128		1		-128			G
	69	Aceites Camaguey	Comercializadora de Aceite Nuevitas	Camaguey	0	Sicema SQL		SQL	5				1	0			G
	69	Aceites Camaguey	Envasasdora de Aceite Camaguey	Camaguey	0	Sicema SQL		SQL	5					0			G
	67	Bebidas Camaguey	Fabrica de Vinagre y Vino Seco Elite	Camaguey	0	Sicema SQL		SQL	5				1	0			G
	72	Cárnica Las Tunas	Aseguramiento  y trasporte.	Las Tunas	0	Sicema SQL		SQL	5				1	0			G
	62	Bebidas Ciego de Ávila	Comercializadora y Transporte	Ciego de Ávila	0	Sicema SQL		SQL	5	128		1	1	-128			G
	62	Bebidas Ciego de Ávila	Fca. Refrescos “Coral”	Ciego de Ávila	0	Sicema SQL		SQL	5				1	0			G
	54	EPICAI	Oficina Central	Villa Clara	0	Siscomip	01/09/2017	SQL	5	128		1		-128			G
	54	EPICAI	Caimar	Villa Clara	0	Siscomip	01/09/2017	SQL	5					0			G
	54	EPICAI	Villamar	Villa Clara	0	Siscomip	01/09/2017	SQL	5					0			G
	54	EPICAI	Isamar	Villa Clara	0	Siscomip	01/09/2017	SQL	5					0			G
	54	EPICAI	Cahamar	Villa Clara	0	Siscomip	01/09/2017	SQL	5					0			G
	54	EPICAI	Pamar	Villa Clara	0	Siscomip	01/09/2017	SQL	5					0			G
	55	PESCAVILLA	Oficina Central	Villa Clara	0	Siscomip	01/05/2017	SQL	5	128	256	1		128			G
	53	Cervecería Manacas	Mtto y Reparaciones	Villa Clara	0	Sicema SQL		SQLA	5	128d				#VALUE!			G
	55	PESCAVILLA	Induvilla	Villa Clara	0	Siscomip	01/05/2017	SQL	5					0			G
	55	PESCAVILLA	Intenpez	Villa Clara	0	Siscomip	01/05/2017	SQL	5					0			G
	55	PESCAVILLA	Acuapla	Villa Clara	0	Siscomip	01/05/2017	SQL	5					0			G
	55	PESCAVILLA	Acuacam	Villa Clara	0	Siscomip	01/05/2017	SQL	5					0			G
	55	PESCAVILLA	Acuaman	Villa Clara	0	Siscomip	01/06/2017	SQL	5					0			G
	55	PESCAVILLA	Acuacor	Villa Clara	0	Siscomip	01/06/2017	SQL	5					0			G
	55	PESCAVILLA	Alevicran	Villa Clara	0	Siscomip	01/06/2017	SQL	5					0			G
	55	PESCAVILLA	Piscra	Villa Clara	0	Siscomip	01/06/2017	SQL	5					0			G
